output_seq_len,seed,mse,mae,timestamp,model_shuffix
96,42,0.66375846,0.5408912,2025-01-14 13:06:25.640424,warm_up_cosine_1r1e-4_new
96,5424,0.7564864158630371,0.5893061757087708,2025-01-14 14:24:42.610161,96_0
96,510,0.6053311228752136,0.5133121013641357,2025-01-14 18:55:44.689219,96_1
96,6657,0.603833019733429,0.5144446492195129,2025-01-14 22:16:35.971560,96_2
96,74751,0.6652341485023499,0.5199587941169739,2025-01-15 00:19:34.563101,96_3
96,42,0.6820079684257507,0.5399015545845032,2025-01-15 04:57:39.242532,96_4
96,42,1.372971534729004,0.9214134216308594,2025-01-16 21:41:26.079818,periodcpos_96_0
96,42,1.1998049020767212,0.7561094164848328,2025-01-16 22:13:59.271908,conv_96_0

96,42,0.9507665634155272,0.689002513885498,2025-01-16 22:34:29.974253,conv_periodpos_96_0
96,5424,0.4815321862697601,0.4532439410686493,2025-01-17 02:09:00.424327,conv_periodpos_96_0
96,510,0.468320220708847,0.4464210271835327,2025-01-17 05:14:44.986137,conv_periodpos_96_1
96,6657,0.5790082812309265,0.5060226321220398,2025-01-17 06:36:11.418741,conv_periodpos_96_2
96,74751,0.4839980602264404,0.4607480466365814,2025-01-17 08:24:36.858095,conv_periodpos_96_3
96,42,0.4819542467594147,0.4526689052581787,2025-01-17 11:04:00.545268,conv_periodpos_96_4

240,74751,1.0084025859832764,0.6771947741508484,2025-01-15 02:45:01.577780,96_3
240,5424,0.8977704644203186,0.6247556209564209,2025-01-16 07:46:04.219128,96_0
240,510,0.960749626159668,0.6782644987106323,2025-01-16 13:50:17.220390,96_1
96,42,1.646485686302185,0.9842661023139954,2025-01-16 14:58:35.439969,periodcpos_96_0
96,42,0.7047898769378662,0.530318021774292,2025-01-16 15:30:30.548303,periodcpos_96_0
240,6657,0.8776727318763733,0.6291868686676025,2025-01-17 00:11:50.542161,96_2
240,42,0.8642670512199402,0.6180962920188904,2025-01-17 03:04:16.129496,periodcpos_240_0
96,42,0.6342840790748596,0.5206211805343628,2025-01-17 04:19:52.000544,conv_96_0
240,42,0.9403396844863892,0.6554844975471497,2025-01-17 17:41:53.605105,96_4
240,42,0.8448004126548767,0.611798107624054,2025-01-17 13:25:49.178934,conv_240_0

